Cluster,InvoiceNo,ProductName
0.0,536366,1512
0.0,536367,1177
0.0,536367,526
0.0,536367,1599
0.0,536367,1865
0.0,536367,988
0.0,536368,1680
0.0,536368,2613
0.0,536368,409
3.0,536370,3517
3.0,536370,3268
2.0,536370,2687
1.0,536370,3545
0.0,536370,2535
0.0,536373,3623
0.0,536373,2714
0.0,536373,2838
0.0,536373,3490
0.0,536373,3661
0.0,536373,42
0.0,536373,3674
0.0,536373,1395
0.0,536375,3623
0.0,536375,3491
0.0,536375,3678
0.0,536375,1395
1.0,536378,1700
1.0,536378,3305
0.0,536378,1893
2.0,536378,2198
0.0,536378,3393
1.0,536378,1722
2.0,536381,2618
0.0,536381,1151
0.0,536381,2351
0.0,536381,1153
0.0,536381,3778
0.0,536381,643
0.0,536381,2734
0.0,536381,1059
0.0,536381,267
0.0,536381,1380
1.0,536381,979
0.0,536382,3547
1.0,536382,721
0.0,536382,138
1.0,536382,1646
0.0,536382,53
0.0,536382,54
0.0,536384,1530
0.0,536384,786
0.0,536384,1105
0.0,536384,1104
1.0,536385,1706
1.0,536385,3403
0.0,536388,1599
0.0,536388,979
0.0,536388,1352
0.0,536388,1201
1.0,536388,1532
1.0,536388,1302
1.0,536388,1301
0.0,536388,2777
1.0,536389,3517
0.0,536389,2674
0.0,536389,385
0.0,536389,138
2.0,536389,1782
0.0,536390,738
1.0,536390,1680
1.0,536390,2734
2.0,536390,1749
0.0,536392,3031
1.0,536392,3672
1.0,536392,2274
1.0,536392,2272
1.0,536394,2732
1.0,536394,953
1.0,536394,1502
0.0,536395,3205
0.0,536395,1622
0.0,536396,3623
0.0,536396,845
0.0,536396,1058
0.0,536396,3490
0.0,536396,3491
0.0,536396,1749
0.0,536396,2691
1.0,536397,2960
2.0,536398,2174
0.0,536398,250
0.0,536398,2325
1.0,536398,1511
1.0,536398,1508
1.0,536398,3304
1.0,536398,2378
0.0,536398,1622
0.0,536398,1619
0.0,536398,3630
1.0,536400,1612
0.0,536401,316
0.0,536401,2314
0.0,536401,3122
0.0,536401,2320
0.0,536401,2831
0.0,536401,2990
0.0,536401,2989
0.0,536401,3434
0.0,536401,949
0.0,536401,3147
0.0,536401,993
0.0,536401,3391
0.0,536401,3058
0.0,536401,2906
0.0,536401,106
0.0,536401,3036
0.0,536401,3050
0.0,536401,2836
0.0,536401,3303
0.0,536401,2433
1.0,536401,1687
